,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
141,20402797,9230,274850,house,1930.0,3.0,168.0,,,,,,4.0,,Good,205.0,Gas,Non flood zone,Yes,334.0
142,20402791,3800,319000,house,1957.0,3.0,165.0,Semi equipped,,,,,3.0,,,391.0,Gas,,Yes,594.0
143,20402793,3590,399000,house,1968.0,3.0,202.0,Installed,,,,,3.0,,,99.0,Gas,,Yes,731.0
144,20401996,9470,195000,apartment,2017.0,1.0,64.0,Installed,,,,,,,Good,,Gas,Non flood zone,Yes,778.0
145,20402659,8420,249000,apartment,1995.0,2.0,76.0,Installed,0.0,,,,,,To be done up,417.0,Electric,Non flood zone,Yes,823.0
146,20401148,8420,274000,apartment,2014.0,2.0,69.0,Hyper equipped,,,,,,,Good,96.0,Gas,Non flood zone,Yes,821.0
147,20402046,8300,1295000,apartment,1997.0,2.0,76.0,Hyper equipped,,,,,4.0,,As new,282.0,Gas,Non flood zone,Yes,
148,20402453,6640,419000,house,1900.0,2.0,143.0,Installed,0.0,,35.0,600.0,4.0,0.0,As new,265.0,Fuel oil,Non flood zone,Yes,630.0
149,20398810,1050,695000,apartment,1974.0,3.0,184.0,Hyper equipped,,,11.0,,2.0,0.0,As new,233.0,Electric,Non flood zone,Yes,4657.0
150,20392783,9600,465000,house,1992.0,4.0,324.0,Hyper equipped,0.0,,20.0,340.0,3.0,0.0,Good,170.0,Gas,Non flood zone,Yes,1290.0
