Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
20402994,Sint-katherina-lombeek,1742,598000,house,,1962,3,592,180,Installed,,,,,,3,,Good,B,101,,Non flood zone,Yes,1245
20390498,Sint-niklaas,9100,245000,apartment,,2003,1,,77,Semi equipped,,,,,,2,,Good,C,286,Gas,Non flood zone,Yes,931
20402991,Antwerpen%202018,2018,335000,apartment,,,2,,111,Not installed,,,4,,,,,,B,189,Gas,Non flood zone,,894
20402989,Antwerpen%202000,2000,209500,apartment,,1974,1,,52,Semi equipped,,,,,,,,To be done up,C,210,Gas,Non flood zone,,
20402990,Antwerpen%202018,2018,360000,apartment,,1968,2,,113,Installed,,,,,,,,To be done up,C,247,Fuel oil,Non flood zone,Yes,1551
20390069,Stekene,9190,275000,house,,,3,294,120,Hyper equipped,,,30,150,,3,,Good,B,117,Gas,Non flood zone,,561
20390825,Stekene,9190,350000,house,,1988,3,726,150,Semi equipped,,,,,,4,,To renovate,D,391,,Non flood zone,Yes,
20390168,Deurne,2100,209000,apartment,,2015,1,,70,Not installed,,,,,,,,Good,A,88,Gas,Non flood zone,Yes,864
20402988,Schoten,2900,395000,house,,1949,3,204,165,Installed,,,,,,2,,As new,B,159,Gas,,Yes,738
20402986,Balen,2490,570000,house,,2024,4,759,230,Installed,0,,,,,4,,As new,A,27,,,Yes,1250
20402984,Somme-leuze%20baillonville,5377,219000,house,,,2,705,80,Semi equipped,0,,40,,,3,0,Good,C,191,Fuel oil,Non flood zone,Yes,277
20402975,Lede,9340,895000,house,,1919,3,1700,318,Hyper equipped,,,,,,4,,Good,E,,Gas,Non flood zone,,986
20402971,Moen,8552,299000,house,,,2,1646,,Installed,,,,,,,,,Not specified,,,,Yes,323
20402970,Sint-truiden,3800,160000,house,,1918,2,118,135,,0,,,,,2,0,,D,344,Gas,Non flood zone,Yes,282
20402969,Zonhoven,3520,340000,apartment,,2019,2,,85,,0,,,,,4,0,,A,87,Gas,Non flood zone,Yes,873
20402966,Leopoldsburg,3970,359000,house,,2024,4,177,204,Hyper equipped,0,,,,,2,,Good,Not specified,,Gas,Non flood zone,Yes,1
